No	Ref	V	B-V	U-B	N
0252	1367	12.68	+0.58	+0.06	1
0253	1367	13.89	+0.61	+0.08	1
0255	59	12.72	+0.56	+0.04	1
0256	1367	12.68	+0.57	+0.07	1
0259	59	13.92	+0.695	+0.185	2
0260	1367	14.02	+0.60	+0.10	1
0262	59	12.94	+1.01	+0.73	1
0263	59	14.00	+0.605	+0.11	2
0263	1367	13.98	+0.61	+0.07	3
0264	1367	13.78	+0.57	+0.06	1
0265	59	12.50	+0.60	+0.04	2
0266	59	10.55	+1.105	+0.945	2
0266	308	10.50	+1.10		3
0266	1367	10.48	+1.11	+0.97	2
0266	2004	10.55	+1.03	+1.17	1
0266	2037	10.491	+1.112		14
0267	59	12.83	+0.595	+0.095	2
0268	59	12.38	+0.59	+0.08	1
0270	1367	13.94	+0.63	+0.09	1
0272	1367	12.63	+0.64	+0.14	1
0273	1367	13.43	+0.56	+0.03	1
0279	1367	14.03	+0.61	+0.06	2
0280	59	10.70	+0.11	+0.09	2
0280	700	10.68	+0.114	+0.104	1
0280	1367	10.66	+0.12	+0.14	3
0280	2004	10.64	+0.12	+0.14	1
0282	1367	13.43	+0.46	+0.05	1
0284	1367	13.49	+0.54	+0.00	1
0286	318	10.45	+1.08	+0.99	2
0286	1367	12.75	+0.53	+0.03	1
0286	2004	10.41	+1.11	+1.02	1
0287	1367	12.76	+0.54	+0.08	1
0288	1367	13.21	+0.56	+0.05	1
0289	1367	12.62	+0.56	+0.09	1
0290	1367	13.73	+0.55	+0.04	1
0291	1367	12.50	+0.94	+0.72	1
0292	1367	14.12	+0.59	+0.06	2
0293	1367	13.69	+0.56	+0.06	1
0294	1367	13.69	+0.58	+0.04	2
0296	59	16.19	+0.66	+0.17	1
0297	59	15.75	+0.85	+0.51	2
0298	59	15.64	+0.89	+0.53	1
0299	59	16.05	+1.07	+0.83	2
0300	59	15.83	+1.08	+0.76	1
0301	1367	13.79	+0.57	+0.08	2
0302	1367	13.74	+0.59	+0.07	1
0303	1367	12.67	+0.70	+0.27	1
0305	318	11.24	+1.10	+0.95	1
0305	1367	11.24	+1.07	+0.97	1
0317	1367	12.63	+0.60	+0.13	2
0319	1367	15.13	+0.69	+0.55	1
0321	1367	12.95	+0.55	+0.06	1
